Sample,Time,Decoder,Ann Row,Ann Class,Value,
8154935,81.549 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
8155260,81.553 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 01 03 09 04 FF 00 ],
8156117,81.561 ms,USB packet,Packets,Packet: ACK,ACK,
8156385,81.564 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8156701,81.567 ms,USB packet,Packets,Packet: NAK,NAK,
8157443,81.574 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 0,
8157758,81.578 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 4D 00 6F 00 64 00 75 00 6C 00 61 00 72 00 ],
8160351,81.604 ms,USB packet,Packets,Packet: ACK,ACK,
8160685,81.607 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8161000,81.610 ms,USB packet,Packets,Packet: NAK,NAK,
8162451,81.625 ms,USB packet,Packets,Packet: OUT,OUT ADDR 43 EP 0,
8162776,81.628 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
8163094,81.631 ms,USB packet,Packets,Packet: ACK,ACK,
8165118,81.651 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8165434,81.654 ms,USB packet,Packets,Packet: NAK,NAK,
8169568,81.696 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 02 03 09 04 FF 00 ][ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ] : ACK,
8169568,81.696 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
8169893,81.699 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
8170750,81.708 ms,USB packet,Packets,Packet: ACK,ACK,
8171018,81.710 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8171334,81.713 ms,USB packet,Packets,Packet: NAK,NAK,
8172168,81.722 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 0,
8172484,81.725 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ],
8175076,81.751 ms,USB packet,Packets,Packet: ACK,ACK,
8175310,81.753 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8175625,81.756 ms,USB packet,Packets,Packet: NAK,NAK,
8177168,81.772 ms,USB packet,Packets,Packet: OUT,OUT ADDR 43 EP 0,
8177493,81.775 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
8177810,81.778 ms,USB packet,Packets,Packet: ACK,ACK,
8181101,81.811 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8181416,81.814 ms,USB packet,Packets,Packet: NAK,NAK,
8184543,81.845 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 02 03 09 04 FF 00 ][ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ] : ACK,
8184543,81.845 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
8184868,81.849 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
8185726,81.857 ms,USB packet,Packets,Packet: ACK,ACK,
8185985,81.860 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8186301,81.863 ms,USB packet,Packets,Packet: NAK,NAK,
8187051,81.871 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 0,
8187367,81.874 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ],
8189960,81.900 ms,USB packet,Packets,Packet: ACK,ACK,
8190193,81.902 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8190509,81.905 ms,USB packet,Packets,Packet: NAK,NAK,
8192060,81.921 ms,USB packet,Packets,Packet: OUT,OUT ADDR 43 EP 0,
8192385,81.924 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
8192702,81.927 ms,USB packet,Packets,Packet: ACK,ACK,
8194601,81.946 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8194916,81.949 ms,USB packet,Packets,Packet: NAK,NAK,
8199018,81.990 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8199333,81.993 ms,USB packet,Packets,Packet: NAK,NAK,
8200202,82.002 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 02 03 09 04 FF 00 ][ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ] : ACK,
8200202,82.002 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
8200526,82.005 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
8201384,82.014 ms,USB packet,Packets,Packet: ACK,ACK,
8202685,82.027 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 0,
8202999,82.030 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ],
8205593,82.056 ms,USB packet,Packets,Packet: ACK,ACK,
8205826,82.058 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8206142,82.061 ms,USB packet,Packets,Packet: NAK,NAK,
8207685,82.077 ms,USB packet,Packets,Packet: OUT,OUT ADDR 43 EP 0,
8208010,82.080 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
8208327,82.083 ms,USB packet,Packets,Packet: ACK,ACK,
8208977,82.090 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8209293,82.093 ms,USB packet,Packets,Packet: NAK,NAK,
8213377,82.134 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8213693,82.137 ms,USB packet,Packets,Packet: NAK,NAK,
8215452,82.155 ms,USB request,USB SETUP,Setup: Device-to-host,SETUP in: [ 80 06 02 03 09 04 FF 00 ][ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ] : ACK,
8215452,82.155 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 43 EP 0,
8215777,82.158 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 02 03 09 04 FF 00 ],
8216633,82.166 ms,USB packet,Packets,Packet: ACK,ACK,
8218018,82.180 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 0,
8218334,82.183 ms,USB packet,Packets,Packet: DATA1,DATA1 [ 22 03 4D 00 6F 00 75 00 6E 00 74 00 6A 00 6F 00 79 00 20 00 51 00 75 00 61 00 64 00 4D 00 6F 00 64 00 ],
8220927,82.209 ms,USB packet,Packets,Packet: ACK,ACK,
8221160,82.212 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8221476,82.215 ms,USB packet,Packets,Packet: NAK,NAK,
8228680,82.287 ms,USB packet,Packets,Packet: SOF,SOF 1318,
8229002,82.290 ms,USB packet,Packets,Packet: OUT,OUT ADDR 43 EP 0,
8229327,82.293 ms,USB packet,Packets,Packet: DATA1,DATA1 [ ],
8229642,82.296 ms,USB packet,Packets,Packet: ACK,ACK,
8229902,82.299 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8230218,82.302 ms,USB packet,Packets,Packet: NAK,NAK,
8233302,82.333 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8233617,82.336 ms,USB packet,Packets,Packet: NAK,NAK,
8237718,82.377 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8238034,82.380 ms,USB packet,Packets,Packet: NAK,NAK,
8242118,82.421 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8242433,82.424 ms,USB packet,Packets,Packet: NAK,NAK,
8246518,82.465 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
