Sample,Time,Decoder,Ann Row,Ann Class,Value,
8658321,86.583 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8658637,86.586 ms,USB packet,Packets,Packet: NAK,NAK,
8662721,86.627 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8663037,86.630 ms,USB packet,Packets,Packet: NAK,NAK,
8667121,86.671 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8667436,86.674 ms,USB packet,Packets,Packet: NAK,NAK,
8671521,86.715 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8671837,86.718 ms,USB packet,Packets,Packet: NAK,NAK,
8675921,86.759 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8676236,86.762 ms,USB packet,Packets,Packet: NAK,NAK,
8681121,86.811 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
